District,Province/State,Lat,Long
East Godavari,Andra Pradesh,17.3213,82.0407
Krishna,Andra Pradesh,16.61,80.7214
Nellore,Andra Pradesh,14.4426,79.9865
Prakasam,Andra Pradesh,15.3485,79.5603
Vizag,Andra Pradesh,17.6868,83.2185
Munger,Bihar,25.3708,86.4734
Patna,Bihar,25.5941,85.1376
Chandigarh,Chandigarh,30.7333,76.7794
Raipur,Chattisgarh,21.2514,81.6296
Central,Delhi,28.6643,77.2167
East Delhi,Delhi,28.628,77.2956
North Delhi,Delhi,28.7886,77.1412
North East,Delhi,28.7184,77.258
North West,Delhi,28.7186,77.0685
South Delhi,Delhi,28.4817,77.1873
South West,Delhi,28.5929,77.0346
West Delhi,Delhi,28.6663,77.068
Ahmedabad,Gujrat,23.0225,72.5714
Gandhinagar,Gujrat,23.2156,72.6369
Kutch,Gujrat,23.7337,69.8597
Rajkot,Gujrat,22.3039,70.8022
Surat,Gujrat,21.1702,72.8311
Vadodara,Gujrat,22.3072,73.1812
Faridabad,Haryana,28.4089,77.3178
Gurugram,Haryana,28.4595,77.0266
Panchkula,Haryana,30.6942,76.8606
Panipat,Haryana,29.3909,76.9635
Sonipat,Haryana,28.9931,77.0151
Kangra,Himachal Pradesh,32.0998,76.2691
Jammu,Jammu Kashmir,32.7266,74.857
Srinagar,Jammu Kashmir,34.0837,74.7973
Bengaluru Urban,Karnataka,12.97,77.6536
Chikkaballapura,Karnataka,13.4355,77.7315
Dakshin Kannada,Karnataka,12.8438,75.2479
Dharwad,Karnataka,15.4589,75.0078
Kalaburgi,Karnataka,17.3297,76.8343
Kodagu,Karnataka,12.3375,75.8069
Mysore,Karnataka,12.2958,76.6394
Uttar Kannada,Karnataka,14.7937,74.6869
Alappuzha,Kerala,9.4981,76.3388
Ernakulam,Kerala,9.9816,76.2999
Idukki,Kerala,9.9189,77.1025
Kannur,Kerala,11.8745,75.3704
Kasargod,Kerala,12.4996,74.9869
Kottayam,Kerala,9.5916,76.5222
Kozhikode,Kerala,11.2588,75.7804
Mallapuram,Kerala,11.051,76.0711
Pathanamthitta,Kerala,9.2648,76.787
Thiruvanthpuram,Kerala,8.5241,76.9366
Thrissur,Kerala,10.5276,76.2144
Kargil,Ladakh,34.5539,76.1349
Leh,Ladakh,34.1526,77.5771
Bhopal,Madhya Pradesh,23.2599,77.4126
Jabalpur,Madhya Pradesh,23.1815,79.9864
Ahmednagar,Maharastra,19.0948,74.748
Aurangabad,Maharastra,19.8762,75.3433
Mumbai,Maharastra,19.076,72.8777
Mumbai Suburb,Maharastra,19.1538,72.8752
Nagpur,Maharastra,21.1458,79.0882
Pune,Maharastra,18.5204,73.8567
Raigad,Maharastra,18.5158,73.1822
Ratnagiri,Maharastra,16.9902,73.312
Thane,Maharastra,19.2183,72.9781
Yavatmal,Maharastra,20.3899,78.1307
Khurda,Odisha,20.1301,85.4788
Mahe,Puducherry,11.7003,75.5425
Amritsar,Punjab,31.634,74.8723
Hoshiarpur,Punjab,31.5143,75.9115
SAS Nagar,Punjab,30.7046,76.7179
SBS Nagar,Punjab,31.0913,76.0392
Bhilwara,Rajasthan,25.3407,74.6313
Jaipur,Rajasthan,26.9124,75.7873
Jhunjhunu,Rajasthan,28.1317,75.4022
Jodhpur,Rajasthan,26.2389,73.0243
Pali,Rajasthan,25.7781,73.3311
Pratapgarh,Rajasthan,24.0317,74.7787
Sikar,Rajasthan,27.6094,75.1398
Chennai,Tamil Nadu,13.0827,80.2707
Coimbatoor,Tamil Nadu,11.0168,76.9558
Erode,Tamil Nadu,11.341,77.7172
Kanchipuram,Tamil Nadu,12.8185,79.6947
Madurai,Tamil Nadu,9.9252,78.1198
Tiruneveli,Tamil Nadu,8.7139,77.7567
Tiruppur,Tamil Nadu,11.1085,77.3411
Bhadradri Kothagudam,Telangana,17.5543,80.6197
Hyderabad,Telangana,17.385,78.4867
Karimnagar,Telangana,18.4386,79.1288
Medchal,Telangana,17.6323,78.4805
Ranga Reddy,Telangana,17.3891,77.8367
Warangal (U),Telangana,17.9689,79.5941
Agra,Uttar Pradesh,27.1767,78.0081
GB Nagar,Uttar Pradesh,28.3383,77.6078
Ghaziabad,Uttar Pradesh,28.6692,77.4538
Kanpur,Uttar Pradesh,26.4499,80.3319
Lakhimpur Kheri,Uttar Pradesh,28.1651,80.6327
Lucknow,Uttar Pradesh,26.8467,80.9462
Moradabad,Uttar Pradesh,28.8386,78.7733
Pilibhit,Uttar Pradesh,28.6249,79.8075
Shamli,Uttar Pradesh,29.4502,77.3172
Varanasi,Uttar Pradesh,25.3176,82.9739
Dehradun,Uttarakhand,30.3165,78.0322
Kolkata,West Bengal,22.5726,88.3639
North 24 Pargana,West Bengal,22.6168,88.4029
,,,
,Goa,15.4909,73.8278
,Jharkhand,23.3441,85.3096
,Sikkim,27.3314,88.6138
,Tripura,23.745127,91.746826
,Manipur,24.817,93.9368
,Meghalaya,25.5788,91.8933
,Mizoram,23.7307,92.7173
,Assam,26.244156,92.537842
,Arunachal Pradesh,28.218,94.7278
,Nagaland,25.6751,94.1086
,Andaman Nicobar Islands,11.6234,92.7265
,Lakshadweep,10.5667,72.6417
